Id,Label,EntityType,Subtype,Domain,SourceLayer,FamilyId,FamilyName,ImplementationState,PrimaryGradeBand,PrimaryContentDomain,OfficialIdentifier,DocumentPath,ArtifactType,Purpose,DeliveryFormat,SourcePath,DecisionType,Outcome,RegistryId,SliceId,Status,ReviewStatus,SupportedProfiles,MappedFamilyIds,MappedGradeBands,MappedContentDomains,NodeIds,EntryNodeIds,LearnerStateFields,VerificationGateTargets,FailureModeTargets,InterventionTargets,ResponseModesSupported,AccessibilityTags,LanguageSupportTags,AppliesWhen
capability:A2,A2 capstone_argument_modeling_and_public_communication,CapabilityNode,capability,social_studies,capability_topology,A,advanced_secondary_synthesis_and_public_argument,drafted,Grades 11-12,advanced secondary synthesis and public argument,A2,domains/social_studies/nodes/a2-capstone-argument-modeling-and-public-communication/README.md,,,,,,,,,Drafted,draft,social-studies-capstone-public-argument-node-package,A,Grades 11-12,advanced secondary synthesis and public argument,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:A2A,A2A capstone_argument_modeling_and_public_communication_foundations_and_examples,CapabilityNode,capability,social_studies,capability_topology,A,advanced_secondary_synthesis_and_public_argument,drafted,Grades 11-12,advanced secondary synthesis and public argument,A2A,domains/social_studies/nodes/a2a-capstone-argument-modeling-and-public-communication-foundations-and-examples/README.md,,,,,,,,,Drafted,draft,capstone-decomposition-node-package,A,Grades 11-12,advanced secondary synthesis and public argument,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:A2B,A2B capstone_argument_modeling_and_public_communication_classification_and_organization,CapabilityNode,capability,social_studies,capability_topology,A,advanced_secondary_synthesis_and_public_argument,drafted,Grades 11-12,advanced secondary synthesis and public argument,A2B,domains/social_studies/nodes/a2b-capstone-argument-modeling-and-public-communication-classification-and-organization/README.md,,,,,,,,,Drafted,draft,capstone-decomposition-node-package,A,Grades 11-12,advanced secondary synthesis and public argument,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:A2C,A2C capstone_argument_modeling_and_public_communication_explanation_and_application,CapabilityNode,capability,social_studies,capability_topology,A,advanced_secondary_synthesis_and_public_argument,drafted,Grades 11-12,advanced secondary synthesis and public argument,A2C,domains/social_studies/nodes/a2c-capstone-argument-modeling-and-public-communication-explanation-and-application/README.md,,,,,,,,,Drafted,draft,capstone-decomposition-node-package,A,Grades 11-12,advanced secondary synthesis and public argument,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:C1,C1 community_rules_roles_and_fairness,CapabilityNode,capability,social_studies,capability_topology,C,civics_and_collective_decision_making,drafted,Kindergarten to Grade 12,civics and collective decision-making,C1,domains/social_studies/nodes/c1-community-rules-roles-and-fairness/README.md,,,,,,,,,Drafted,draft,civics-entry-node-package,C,Kindergarten to Grade 12,civics and collective decision-making,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:C1A,C1A community_rules_roles_and_fairness_foundations_and_examples,CapabilityNode,capability,social_studies,capability_topology,C,civics_and_collective_decision_making,drafted,Kindergarten to Grade 12,civics and collective decision-making,C1A,domains/social_studies/nodes/c1a-community-rules-roles-and-fairness-foundations-and-examples/README.md,,,,,,,,,Drafted,draft,civics-decomposition-node-package,C,Kindergarten to Grade 12,civics and collective decision-making,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:C1B,C1B community_rules_roles_and_fairness_classification_and_organization,CapabilityNode,capability,social_studies,capability_topology,C,civics_and_collective_decision_making,drafted,Kindergarten to Grade 12,civics and collective decision-making,C1B,domains/social_studies/nodes/c1b-community-rules-roles-and-fairness-classification-and-organization/README.md,,,,,,,,,Drafted,draft,civics-decomposition-node-package,C,Kindergarten to Grade 12,civics and collective decision-making,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:C1C,C1C community_rules_roles_and_fairness_explanation_and_application,CapabilityNode,capability,social_studies,capability_topology,C,civics_and_collective_decision_making,drafted,Kindergarten to Grade 12,civics and collective decision-making,C1C,domains/social_studies/nodes/c1c-community-rules-roles-and-fairness-explanation-and-application/README.md,,,,,,,,,Drafted,draft,civics-decomposition-node-package,C,Kindergarten to Grade 12,civics and collective decision-making,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:C1D,C1D community_rules_roles_and_fairness_transfer_and_contextual_use,CapabilityNode,capability,social_studies,capability_topology,C,civics_and_collective_decision_making,drafted,Kindergarten to Grade 12,civics and collective decision-making,C1D,domains/social_studies/nodes/c1d-community-rules-roles-and-fairness-transfer-and-contextual-use/README.md,,,,,,,,,Drafted,draft,civics-decomposition-node-package,C,Kindergarten to Grade 12,civics and collective decision-making,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:C2,C2 institutions_rights_responsibilities_and_processes,CapabilityNode,capability,social_studies,capability_topology,C,civics_and_collective_decision_making,drafted,Kindergarten to Grade 12,civics and collective decision-making,C2,domains/social_studies/nodes/c2-institutions-rights-responsibilities-and-processes/README.md,,,,,,,,,Drafted,draft,civics-process-node-package,C,Kindergarten to Grade 12,civics and collective decision-making,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:C2A,C2A institutions_rights_responsibilities_and_processes_foundations_and_examples,CapabilityNode,capability,social_studies,capability_topology,C,civics_and_collective_decision_making,drafted,Kindergarten to Grade 12,civics and collective decision-making,C2A,domains/social_studies/nodes/c2a-institutions-rights-responsibilities-and-processes-foundations-and-examples/README.md,,,,,,,,,Drafted,draft,civics-decomposition-node-package,C,Kindergarten to Grade 12,civics and collective decision-making,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:C2B,C2B institutions_rights_responsibilities_and_processes_classification_and_organization,CapabilityNode,capability,social_studies,capability_topology,C,civics_and_collective_decision_making,drafted,Kindergarten to Grade 12,civics and collective decision-making,C2B,domains/social_studies/nodes/c2b-institutions-rights-responsibilities-and-processes-classification-and-organization/README.md,,,,,,,,,Drafted,draft,civics-decomposition-node-package,C,Kindergarten to Grade 12,civics and collective decision-making,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:C2C,C2C institutions_rights_responsibilities_and_processes_explanation_and_application,CapabilityNode,capability,social_studies,capability_topology,C,civics_and_collective_decision_making,drafted,Kindergarten to Grade 12,civics and collective decision-making,C2C,domains/social_studies/nodes/c2c-institutions-rights-responsibilities-and-processes-explanation-and-application/README.md,,,,,,,,,Drafted,draft,civics-decomposition-node-package,C,Kindergarten to Grade 12,civics and collective decision-making,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:C2D,C2D institutions_rights_responsibilities_and_processes_transfer_and_contextual_use,CapabilityNode,capability,social_studies,capability_topology,C,civics_and_collective_decision_making,drafted,Kindergarten to Grade 12,civics and collective decision-making,C2D,domains/social_studies/nodes/c2d-institutions-rights-responsibilities-and-processes-transfer-and-contextual-use/README.md,,,,,,,,,Drafted,draft,civics-decomposition-node-package,C,Kindergarten to Grade 12,civics and collective decision-making,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:C3,C3 civic_decision_making_and_deliberation,CapabilityNode,capability,social_studies,capability_topology,C,civics_and_collective_decision_making,drafted,Kindergarten to Grade 12,civics and collective decision-making,C3,domains/social_studies/nodes/c3-civic-decision-making-and-deliberation/README.md,,,,,,,,,Drafted,draft,civics-deliberation-node-package,C,Kindergarten to Grade 12,civics and collective decision-making,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:C3A,C3A civic_decision_making_and_deliberation_foundations_and_examples,CapabilityNode,capability,social_studies,capability_topology,C,civics_and_collective_decision_making,drafted,Kindergarten to Grade 12,civics and collective decision-making,C3A,domains/social_studies/nodes/c3a-civic-decision-making-and-deliberation-foundations-and-examples/README.md,,,,,,,,,Drafted,draft,civics-decomposition-node-package,C,Kindergarten to Grade 12,civics and collective decision-making,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:C3B,C3B civic_decision_making_and_deliberation_classification_and_organization,CapabilityNode,capability,social_studies,capability_topology,C,civics_and_collective_decision_making,drafted,Kindergarten to Grade 12,civics and collective decision-making,C3B,domains/social_studies/nodes/c3b-civic-decision-making-and-deliberation-classification-and-organization/README.md,,,,,,,,,Drafted,draft,civics-decomposition-node-package,C,Kindergarten to Grade 12,civics and collective decision-making,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:C3C,C3C civic_decision_making_and_deliberation_explanation_and_application,CapabilityNode,capability,social_studies,capability_topology,C,civics_and_collective_decision_making,drafted,Kindergarten to Grade 12,civics and collective decision-making,C3C,domains/social_studies/nodes/c3c-civic-decision-making-and-deliberation-explanation-and-application/README.md,,,,,,,,,Drafted,draft,civics-decomposition-node-package,C,Kindergarten to Grade 12,civics and collective decision-making,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:C3D,C3D civic_decision_making_and_deliberation_transfer_and_contextual_use,CapabilityNode,capability,social_studies,capability_topology,C,civics_and_collective_decision_making,drafted,Kindergarten to Grade 12,civics and collective decision-making,C3D,domains/social_studies/nodes/c3d-civic-decision-making-and-deliberation-transfer-and-contextual-use/README.md,,,,,,,,,Drafted,draft,civics-decomposition-node-package,C,Kindergarten to Grade 12,civics and collective decision-making,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:C4,C4 constitutional_principles_and_public_policy,CapabilityNode,capability,social_studies,capability_topology,C,civics_and_collective_decision_making,drafted,Kindergarten to Grade 12,civics and collective decision-making,C4,domains/social_studies/nodes/c4-constitutional-principles-and-public-policy/README.md,,,,,,,,,Drafted,draft,civics-policy-node-package,C,Kindergarten to Grade 12,civics and collective decision-making,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:C4A,C4A constitutional_principles_and_public_policy_foundations_and_examples,CapabilityNode,capability,social_studies,capability_topology,C,civics_and_collective_decision_making,drafted,Kindergarten to Grade 12,civics and collective decision-making,C4A,domains/social_studies/nodes/c4a-constitutional-principles-and-public-policy-foundations-and-examples/README.md,,,,,,,,,Drafted,draft,civics-decomposition-node-package,C,Kindergarten to Grade 12,civics and collective decision-making,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:C4B,C4B constitutional_principles_and_public_policy_classification_and_organization,CapabilityNode,capability,social_studies,capability_topology,C,civics_and_collective_decision_making,drafted,Kindergarten to Grade 12,civics and collective decision-making,C4B,domains/social_studies/nodes/c4b-constitutional-principles-and-public-policy-classification-and-organization/README.md,,,,,,,,,Drafted,draft,civics-decomposition-node-package,C,Kindergarten to Grade 12,civics and collective decision-making,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:C4C,C4C constitutional_principles_and_public_policy_explanation_and_application,CapabilityNode,capability,social_studies,capability_topology,C,civics_and_collective_decision_making,drafted,Kindergarten to Grade 12,civics and collective decision-making,C4C,domains/social_studies/nodes/c4c-constitutional-principles-and-public-policy-explanation-and-application/README.md,,,,,,,,,Drafted,draft,civics-decomposition-node-package,C,Kindergarten to Grade 12,civics and collective decision-making,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:C4D,C4D constitutional_principles_and_public_policy_transfer_and_contextual_use,CapabilityNode,capability,social_studies,capability_topology,C,civics_and_collective_decision_making,drafted,Kindergarten to Grade 12,civics and collective decision-making,C4D,domains/social_studies/nodes/c4d-constitutional-principles-and-public-policy-transfer-and-contextual-use/README.md,,,,,,,,,Drafted,draft,civics-decomposition-node-package,C,Kindergarten to Grade 12,civics and collective decision-making,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:C5,C5 comparative_government_and_civic_action,CapabilityNode,capability,social_studies,capability_topology,C,civics_and_collective_decision_making,drafted,Kindergarten to Grade 12,civics and collective decision-making,C5,domains/social_studies/nodes/c5-comparative-government-and-civic-action/README.md,,,,,,,,,Drafted,draft,comparative-civics-node-package,C,Kindergarten to Grade 12,civics and collective decision-making,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:C5A,C5A comparative_government_and_civic_action_foundations_and_examples,CapabilityNode,capability,social_studies,capability_topology,C,civics_and_collective_decision_making,drafted,Kindergarten to Grade 12,civics and collective decision-making,C5A,domains/social_studies/nodes/c5a-comparative-government-and-civic-action-foundations-and-examples/README.md,,,,,,,,,Drafted,draft,civics-decomposition-node-package,C,Kindergarten to Grade 12,civics and collective decision-making,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:C5B,C5B comparative_government_and_civic_action_classification_and_organization,CapabilityNode,capability,social_studies,capability_topology,C,civics_and_collective_decision_making,drafted,Kindergarten to Grade 12,civics and collective decision-making,C5B,domains/social_studies/nodes/c5b-comparative-government-and-civic-action-classification-and-organization/README.md,,,,,,,,,Drafted,draft,civics-decomposition-node-package,C,Kindergarten to Grade 12,civics and collective decision-making,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:C5C,C5C comparative_government_and_civic_action_explanation_and_application,CapabilityNode,capability,social_studies,capability_topology,C,civics_and_collective_decision_making,drafted,Kindergarten to Grade 12,civics and collective decision-making,C5C,domains/social_studies/nodes/c5c-comparative-government-and-civic-action-explanation-and-application/README.md,,,,,,,,,Drafted,draft,civics-decomposition-node-package,C,Kindergarten to Grade 12,civics and collective decision-making,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:C5D,C5D comparative_government_and_civic_action_transfer_and_contextual_use,CapabilityNode,capability,social_studies,capability_topology,C,civics_and_collective_decision_making,drafted,Kindergarten to Grade 12,civics and collective decision-making,C5D,domains/social_studies/nodes/c5d-comparative-government-and-civic-action-transfer-and-contextual-use/README.md,,,,,,,,,Drafted,draft,civics-decomposition-node-package,C,Kindergarten to Grade 12,civics and collective decision-making,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:C6,C6 advanced_civic_argument_policy_design_and_participation,CapabilityNode,capability,social_studies,capability_topology,C,civics_and_collective_decision_making,drafted,Kindergarten to Grade 12,civics and collective decision-making,C6,domains/social_studies/nodes/c6-advanced-civic-argument-policy-design-and-participation/README.md,,,,,,,,,Drafted,draft,advanced-civic-design-node-package,C,Kindergarten to Grade 12,civics and collective decision-making,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:C6A,C6A advanced_civic_argument_policy_design_and_participation_foundations_and_examples,CapabilityNode,capability,social_studies,capability_topology,C,civics_and_collective_decision_making,drafted,Kindergarten to Grade 12,civics and collective decision-making,C6A,domains/social_studies/nodes/c6a-advanced-civic-argument-policy-design-and-participation-foundations-and-examples/README.md,,,,,,,,,Drafted,draft,civics-decomposition-node-package,C,Kindergarten to Grade 12,civics and collective decision-making,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:C6B,C6B advanced_civic_argument_policy_design_and_participation_classification_and_organization,CapabilityNode,capability,social_studies,capability_topology,C,civics_and_collective_decision_making,drafted,Kindergarten to Grade 12,civics and collective decision-making,C6B,domains/social_studies/nodes/c6b-advanced-civic-argument-policy-design-and-participation-classification-and-organization/README.md,,,,,,,,,Drafted,draft,civics-decomposition-node-package,C,Kindergarten to Grade 12,civics and collective decision-making,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:C6C,C6C advanced_civic_argument_policy_design_and_participation_explanation_and_application,CapabilityNode,capability,social_studies,capability_topology,C,civics_and_collective_decision_making,drafted,Kindergarten to Grade 12,civics and collective decision-making,C6C,domains/social_studies/nodes/c6c-advanced-civic-argument-policy-design-and-participation-explanation-and-application/README.md,,,,,,,,,Drafted,draft,civics-decomposition-node-package,C,Kindergarten to Grade 12,civics and collective decision-making,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:C6D,C6D advanced_civic_argument_policy_design_and_participation_transfer_and_contextual_use,CapabilityNode,capability,social_studies,capability_topology,C,civics_and_collective_decision_making,drafted,Kindergarten to Grade 12,civics and collective decision-making,C6D,domains/social_studies/nodes/c6d-advanced-civic-argument-policy-design-and-participation-transfer-and-contextual-use/README.md,,,,,,,,,Drafted,draft,civics-decomposition-node-package,C,Kindergarten to Grade 12,civics and collective decision-making,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:E1,E1 needs_wants_choice_and_exchange,CapabilityNode,capability,social_studies,capability_topology,E,economics_and_exchange_systems,drafted,Kindergarten to Grade 12,economics and exchange systems,E1,domains/social_studies/nodes/e1-needs-wants-choice-and-exchange/README.md,,,,,,,,,Drafted,draft,economics-entry-node-package,E,Kindergarten to Grade 12,economics and exchange systems,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:E1A,E1A needs_wants_choice_and_exchange_foundations_and_examples,CapabilityNode,capability,social_studies,capability_topology,E,economics_and_exchange_systems,drafted,Kindergarten to Grade 12,economics and exchange systems,E1A,domains/social_studies/nodes/e1a-needs-wants-choice-and-exchange-foundations-and-examples/README.md,,,,,,,,,Drafted,draft,economics-decomposition-node-package,E,Kindergarten to Grade 12,economics and exchange systems,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:E1B,E1B needs_wants_choice_and_exchange_classification_and_organization,CapabilityNode,capability,social_studies,capability_topology,E,economics_and_exchange_systems,drafted,Kindergarten to Grade 12,economics and exchange systems,E1B,domains/social_studies/nodes/e1b-needs-wants-choice-and-exchange-classification-and-organization/README.md,,,,,,,,,Drafted,draft,economics-decomposition-node-package,E,Kindergarten to Grade 12,economics and exchange systems,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:E1C,E1C needs_wants_choice_and_exchange_explanation_and_application,CapabilityNode,capability,social_studies,capability_topology,E,economics_and_exchange_systems,drafted,Kindergarten to Grade 12,economics and exchange systems,E1C,domains/social_studies/nodes/e1c-needs-wants-choice-and-exchange-explanation-and-application/README.md,,,,,,,,,Drafted,draft,economics-decomposition-node-package,E,Kindergarten to Grade 12,economics and exchange systems,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:E2,E2 production_consumption_and_local_markets,CapabilityNode,capability,social_studies,capability_topology,E,economics_and_exchange_systems,drafted,Kindergarten to Grade 12,economics and exchange systems,E2,domains/social_studies/nodes/e2-production-consumption-and-local-markets/README.md,,,,,,,,,Drafted,draft,economics-market-node-package,E,Kindergarten to Grade 12,economics and exchange systems,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:E2A,E2A production_consumption_and_local_markets_foundations_and_examples,CapabilityNode,capability,social_studies,capability_topology,E,economics_and_exchange_systems,drafted,Kindergarten to Grade 12,economics and exchange systems,E2A,domains/social_studies/nodes/e2a-production-consumption-and-local-markets-foundations-and-examples/README.md,,,,,,,,,Drafted,draft,economics-decomposition-node-package,E,Kindergarten to Grade 12,economics and exchange systems,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:E2B,E2B production_consumption_and_local_markets_classification_and_organization,CapabilityNode,capability,social_studies,capability_topology,E,economics_and_exchange_systems,drafted,Kindergarten to Grade 12,economics and exchange systems,E2B,domains/social_studies/nodes/e2b-production-consumption-and-local-markets-classification-and-organization/README.md,,,,,,,,,Drafted,draft,economics-decomposition-node-package,E,Kindergarten to Grade 12,economics and exchange systems,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:E2C,E2C production_consumption_and_local_markets_explanation_and_application,CapabilityNode,capability,social_studies,capability_topology,E,economics_and_exchange_systems,drafted,Kindergarten to Grade 12,economics and exchange systems,E2C,domains/social_studies/nodes/e2c-production-consumption-and-local-markets-explanation-and-application/README.md,,,,,,,,,Drafted,draft,economics-decomposition-node-package,E,Kindergarten to Grade 12,economics and exchange systems,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:E3,E3 incentives_trade_and_simple_systems,CapabilityNode,capability,social_studies,capability_topology,E,economics_and_exchange_systems,drafted,Kindergarten to Grade 12,economics and exchange systems,E3,domains/social_studies/nodes/e3-incentives-trade-and-simple-systems/README.md,,,,,,,,,Drafted,draft,economics-systems-node-package,E,Kindergarten to Grade 12,economics and exchange systems,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:E3A,E3A incentives_trade_and_simple_systems_foundations_and_examples,CapabilityNode,capability,social_studies,capability_topology,E,economics_and_exchange_systems,drafted,Kindergarten to Grade 12,economics and exchange systems,E3A,domains/social_studies/nodes/e3a-incentives-trade-and-simple-systems-foundations-and-examples/README.md,,,,,,,,,Drafted,draft,economics-decomposition-node-package,E,Kindergarten to Grade 12,economics and exchange systems,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:E3B,E3B incentives_trade_and_simple_systems_classification_and_organization,CapabilityNode,capability,social_studies,capability_topology,E,economics_and_exchange_systems,drafted,Kindergarten to Grade 12,economics and exchange systems,E3B,domains/social_studies/nodes/e3b-incentives-trade-and-simple-systems-classification-and-organization/README.md,,,,,,,,,Drafted,draft,economics-decomposition-node-package,E,Kindergarten to Grade 12,economics and exchange systems,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:E3C,E3C incentives_trade_and_simple_systems_explanation_and_application,CapabilityNode,capability,social_studies,capability_topology,E,economics_and_exchange_systems,drafted,Kindergarten to Grade 12,economics and exchange systems,E3C,domains/social_studies/nodes/e3c-incentives-trade-and-simple-systems-explanation-and-application/README.md,,,,,,,,,Drafted,draft,economics-decomposition-node-package,E,Kindergarten to Grade 12,economics and exchange systems,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:E4,E4 markets_labor_and_public_resource_decisions,CapabilityNode,capability,social_studies,capability_topology,E,economics_and_exchange_systems,drafted,Kindergarten to Grade 12,economics and exchange systems,E4,domains/social_studies/nodes/e4-markets-labor-and-public-resource-decisions/README.md,,,,,,,,,Drafted,draft,economics-public-resource-node-package,E,Kindergarten to Grade 12,economics and exchange systems,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:E4A,E4A markets_labor_and_public_resource_decisions_foundations_and_examples,CapabilityNode,capability,social_studies,capability_topology,E,economics_and_exchange_systems,drafted,Kindergarten to Grade 12,economics and exchange systems,E4A,domains/social_studies/nodes/e4a-markets-labor-and-public-resource-decisions-foundations-and-examples/README.md,,,,,,,,,Drafted,draft,economics-decomposition-node-package,E,Kindergarten to Grade 12,economics and exchange systems,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:E4B,E4B markets_labor_and_public_resource_decisions_classification_and_organization,CapabilityNode,capability,social_studies,capability_topology,E,economics_and_exchange_systems,drafted,Kindergarten to Grade 12,economics and exchange systems,E4B,domains/social_studies/nodes/e4b-markets-labor-and-public-resource-decisions-classification-and-organization/README.md,,,,,,,,,Drafted,draft,economics-decomposition-node-package,E,Kindergarten to Grade 12,economics and exchange systems,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:E4C,E4C markets_labor_and_public_resource_decisions_explanation_and_application,CapabilityNode,capability,social_studies,capability_topology,E,economics_and_exchange_systems,drafted,Kindergarten to Grade 12,economics and exchange systems,E4C,domains/social_studies/nodes/e4c-markets-labor-and-public-resource-decisions-explanation-and-application/README.md,,,,,,,,,Drafted,draft,economics-decomposition-node-package,E,Kindergarten to Grade 12,economics and exchange systems,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:E5,E5 macroeconomic_patterns_global_trade_and_finance_basics,CapabilityNode,capability,social_studies,capability_topology,E,economics_and_exchange_systems,drafted,Kindergarten to Grade 12,economics and exchange systems,E5,domains/social_studies/nodes/e5-macroeconomic-patterns-global-trade-and-finance-basics/README.md,,,,,,,,,Drafted,draft,economics-macroeconomics-node-package,E,Kindergarten to Grade 12,economics and exchange systems,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:E5A,E5A macroeconomic_patterns_global_trade_and_finance_basics_foundations_and_examples,CapabilityNode,capability,social_studies,capability_topology,E,economics_and_exchange_systems,drafted,Kindergarten to Grade 12,economics and exchange systems,E5A,domains/social_studies/nodes/e5a-macroeconomic-patterns-global-trade-and-finance-basics-foundations-and-examples/README.md,,,,,,,,,Drafted,draft,economics-decomposition-node-package,E,Kindergarten to Grade 12,economics and exchange systems,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:E5B,E5B macroeconomic_patterns_global_trade_and_finance_basics_classification_and_organization,CapabilityNode,capability,social_studies,capability_topology,E,economics_and_exchange_systems,drafted,Kindergarten to Grade 12,economics and exchange systems,E5B,domains/social_studies/nodes/e5b-macroeconomic-patterns-global-trade-and-finance-basics-classification-and-organization/README.md,,,,,,,,,Drafted,draft,economics-decomposition-node-package,E,Kindergarten to Grade 12,economics and exchange systems,,,,direct_performance;meaning;transfer;retention,4,,,,,
