id:ID(Entity),name,entity_type,domain,source_layer,subtype,family_id,family_name,implementation_state,primary_grade_band,primary_content_domain,official_identifier,document_path,artifact_type,purpose,delivery_format,source_path,decision_type,outcome,registry_id,slice_id,status,review_status,supported_profiles:string[],mapped_family_ids:string[],mapped_grade_bands:string[],mapped_content_domains:string[],node_ids:string[],entry_node_ids:string[],learner_state_fields:string[],verification_gate_targets:string[],failure_mode_targets:string[],intervention_targets:string[],response_modes_supported:string[],accessibility_tags:string[],language_support_tags:string[],applies_when:string[],:LABEL
capability:C6,quantity_symbol_correspondence,CapabilityNode,mathematics,capability_topology,capability,C,counting_and_cardinality,implemented,Kindergarten,counting and cardinality,C6,,,,,,,,,,,,,C,Kindergarten,counting and cardinality,,,,,,,,,,,Entity;CapabilityNode
family:n,whole_number_and_operations,CapabilityFamily,mathematics,capability_topology,family,N,whole_number_and_operations,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,Entity;CapabilityFamily
capability:N1,compose_and_decompose_small_numbers,CapabilityNode,mathematics,capability_topology,capability,N,whole_number_and_operations,implemented,Kindergarten to Grade 1,operations and algebraic thinking,N1,,,,,,,,,,,,,N,Kindergarten to Grade 1,operations and algebraic thinking,,,,,,,,,,,Entity;CapabilityNode
capability:N2,addition_and_subtraction_meaning,CapabilityNode,mathematics,capability_topology,capability,N,whole_number_and_operations,implemented,Kindergarten to Grade 1,operations and algebraic thinking,N2,,,,,,,,,,,,,N,Kindergarten to Grade 1,operations and algebraic thinking,,,,,,,,,,,Entity;CapabilityNode
capability:N3,count_on_and_count_back,CapabilityNode,mathematics,capability_topology,capability,N,whole_number_and_operations,implemented,Kindergarten to Grade 1,operations and algebraic thinking,N3,,,,,,,,,,,,,N,Kindergarten to Grade 1,operations and algebraic thinking,,,,,,,,,,,Entity;CapabilityNode
capability:N4,fluency_foundations,CapabilityNode,mathematics,capability_topology,capability,N,whole_number_and_operations,implemented,Kindergarten to Grade 1,operations and algebraic thinking,N4,,,,,,,,,,,,,N,Kindergarten to Grade 1,operations and algebraic thinking,,,,,,,,,,,Entity;CapabilityNode
capability:N5,teen_numbers_and_base_ten_composition_readiness,CapabilityNode,mathematics,capability_topology,capability,N,whole_number_and_operations,implemented,Kindergarten to Grade 1,operations and algebraic thinking,N5,,,,,,,,,,,,,N,Kindergarten to Grade 1,operations and algebraic thinking,,,,,,,,,,,Entity;CapabilityNode
capability:N6,early_place_value_grouping_logic,CapabilityNode,mathematics,capability_topology,capability,N,whole_number_and_operations,implemented,Kindergarten to Grade 1,operations and algebraic thinking,N6,,,,,,,,,,,,,N,Kindergarten to Grade 1,operations and algebraic thinking,,,,,,,,,,,Entity;CapabilityNode
family:v,place_value_and_multidigit_whole_numbers,CapabilityFamily,mathematics,capability_topology,family,V,place_value_and_multidigit_whole_numbers,,,,,,,,,,,,,,,,,V,,,,,,,,,,,,,Entity;CapabilityFamily
capability:V1,two_digit_number_structure,CapabilityNode,mathematics,capability_topology,capability,V,place_value_and_multidigit_whole_numbers,implemented,Grades 1-3,number and operations in base ten,V1,,,,,,,,,,,,,V,Grades 1-3,number and operations in base ten,,,,,,,,,,,Entity;CapabilityNode
capability:V2,compare_and_order_multidigit_numbers,CapabilityNode,mathematics,capability_topology,capability,V,place_value_and_multidigit_whole_numbers,implemented,Grades 1-3,number and operations in base ten,V2,,,,,,,,,,,,,V,Grades 1-3,number and operations in base ten,,,,,,,,,,,Entity;CapabilityNode
capability:V3,add_subtract_within_100_strategies,CapabilityNode,mathematics,capability_topology,capability,V,place_value_and_multidigit_whole_numbers,implemented,Grades 1-3,number and operations in base ten,V3,,,,,,,,,,,,,V,Grades 1-3,number and operations in base ten,,,,,,,,,,,Entity;CapabilityNode
capability:V4,regrouping_and_base_ten_equivalence,CapabilityNode,mathematics,capability_topology,capability,V,place_value_and_multidigit_whole_numbers,implemented,Grades 1-3,number and operations in base ten,V4,,,,,,,,,,,,,V,Grades 1-3,number and operations in base ten,,,,,,,,,,,Entity;CapabilityNode
capability:V5,add_subtract_within_1000,CapabilityNode,mathematics,capability_topology,capability,V,place_value_and_multidigit_whole_numbers,implemented,Grades 1-3,number and operations in base ten,V5,,,,,,,,,,,,,V,Grades 1-3,number and operations in base ten,,,,,,,,,,,Entity;CapabilityNode
family:x,decimals_and_fraction_decimal_connections,CapabilityFamily,mathematics,capability_topology,family,X,decimals_and_fraction_decimal_connections,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,Entity;CapabilityFamily
capability:X1,tenths_as_decimal_units,CapabilityNode,mathematics,capability_topology,capability,X,decimals_and_fraction_decimal_connections,implemented,Grades 4-5,number and operations in base ten / number and operations with fractions,X1,,,,,,,,,,,,,X,Grades 4-5,number and operations in base ten / number and operations with fractions,,,,,,,,,,,Entity;CapabilityNode
capability:X2,decimal_place_value_structure,CapabilityNode,mathematics,capability_topology,capability,X,decimals_and_fraction_decimal_connections,implemented,Grades 4-5,number and operations in base ten / number and operations with fractions,X2,,,,,,,,,,,,,X,Grades 4-5,number and operations in base ten / number and operations with fractions,,,,,,,,,,,Entity;CapabilityNode
capability:X3,compare_and_order_decimals,CapabilityNode,mathematics,capability_topology,capability,X,decimals_and_fraction_decimal_connections,implemented,Grades 4-5,number and operations in base ten / number and operations with fractions,X3,,,,,,,,,,,,,X,Grades 4-5,number and operations in base ten / number and operations with fractions,,,,,,,,,,,Entity;CapabilityNode
capability:X4,fraction_decimal_benchmark_connections,CapabilityNode,mathematics,capability_topology,capability,X,decimals_and_fraction_decimal_connections,implemented,Grades 4-5,number and operations in base ten / number and operations with fractions,X4,,,,,,,,,,,,,X,Grades 4-5,number and operations in base ten / number and operations with fractions,,,,,,,,,,,Entity;CapabilityNode
capability:X5,decimal_locations_on_number_line,CapabilityNode,mathematics,capability_topology,capability,X,decimals_and_fraction_decimal_connections,implemented,Grades 4-5,number and operations in base ten / number and operations with fractions,X5,,,,,,,,,,,,,X,Grades 4-5,number and operations in base ten / number and operations with fractions,,,,,,,,,,,Entity;CapabilityNode
family:u,unitizing_and_sharing,CapabilityFamily,mathematics,capability_topology,family,U,unitizing_and_sharing,,,,,,,,,,,,,,,,,U,,,,,,,,,,,,,Entity;CapabilityFamily
capability:U1,equal_groups,CapabilityNode,mathematics,capability_topology,capability,U,unitizing_and_sharing,implemented,Kindergarten to Grade 3,operations and algebraic thinking / number and operations with fractions,U1,,,,,,,,,,,,,U,Kindergarten to Grade 3,operations and algebraic thinking / number and operations with fractions,,,,,,,,,,,Entity;CapabilityNode
capability:U2,repeated_unit_reasoning,CapabilityNode,mathematics,capability_topology,capability,U,unitizing_and_sharing,implemented,Kindergarten to Grade 3,operations and algebraic thinking / number and operations with fractions,U2,,,,,,,,,,,,,U,Kindergarten to Grade 3,operations and algebraic thinking / number and operations with fractions,,,,,,,,,,,Entity;CapabilityNode
capability:U3,sharing_and_fair_partitioning,CapabilityNode,mathematics,capability_topology,capability,U,unitizing_and_sharing,implemented,Kindergarten to Grade 3,operations and algebraic thinking / number and operations with fractions,U3,,,,,,,,,,,,,U,Kindergarten to Grade 3,operations and algebraic thinking / number and operations with fractions,,,,,,,,,,,Entity;CapabilityNode
capability:U4,equal_partitioning_of_a_whole,CapabilityNode,mathematics,capability_topology,capability,U,unitizing_and_sharing,implemented,Kindergarten to Grade 3,operations and algebraic thinking / number and operations with fractions,U4,,,,,,,,,,,,,U,Kindergarten to Grade 3,operations and algebraic thinking / number and operations with fractions,,,,,,,,,,,Entity;CapabilityNode
capability:U5,equal_group_multiplication_readiness,CapabilityNode,mathematics,capability_topology,capability,U,unitizing_and_sharing,implemented,Kindergarten to Grade 3,operations and algebraic thinking / number and operations with fractions,U5,,,,,,,,,,,,,U,Kindergarten to Grade 3,operations and algebraic thinking / number and operations with fractions,,,,,,,,,,,Entity;CapabilityNode
capability:U6,equal_share_division_readiness,CapabilityNode,mathematics,capability_topology,capability,U,unitizing_and_sharing,implemented,Kindergarten to Grade 3,operations and algebraic thinking / number and operations with fractions,U6,,,,,,,,,,,,,U,Kindergarten to Grade 3,operations and algebraic thinking / number and operations with fractions,,,,,,,,,,,Entity;CapabilityNode
family:t,multiplicative_reasoning_and_division,CapabilityFamily,mathematics,capability_topology,family,T,multiplicative_reasoning_and_division,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,Entity;CapabilityFamily
capability:T1,arrays_and_rectangular_structures,CapabilityNode,mathematics,capability_topology,capability,T,multiplicative_reasoning_and_division,implemented,Grades 3-5,operations and algebraic thinking / number and operations in base ten,T1,,,,,,,,,,,,,T,Grades 3-5,operations and algebraic thinking / number and operations in base ten,,,,,,,,,,,Entity;CapabilityNode
capability:T2,multiplication_fact_structure,CapabilityNode,mathematics,capability_topology,capability,T,multiplicative_reasoning_and_division,implemented,Grades 3-5,operations and algebraic thinking / number and operations in base ten,T2,,,,,,,,,,,,,T,Grades 3-5,operations and algebraic thinking / number and operations in base ten,,,,,,,,,,,Entity;CapabilityNode
capability:T3,division_as_unknown_group_or_share,CapabilityNode,mathematics,capability_topology,capability,T,multiplicative_reasoning_and_division,implemented,Grades 3-5,operations and algebraic thinking / number and operations in base ten,T3,,,,,,,,,,,,,T,Grades 3-5,operations and algebraic thinking / number and operations in base ten,,,,,,,,,,,Entity;CapabilityNode
capability:T4,multiplicative_comparison_and_scaling,CapabilityNode,mathematics,capability_topology,capability,T,multiplicative_reasoning_and_division,implemented,Grades 3-5,operations and algebraic thinking / number and operations in base ten,T4,,,,,,,,,,,,,T,Grades 3-5,operations and algebraic thinking / number and operations in base ten,,,,,,,,,,,Entity;CapabilityNode
capability:T5,factors_multiples_and_divisibility,CapabilityNode,mathematics,capability_topology,capability,T,multiplicative_reasoning_and_division,implemented,Grades 3-5,operations and algebraic thinking / number and operations in base ten,T5,,,,,,,,,,,,,T,Grades 3-5,operations and algebraic thinking / number and operations in base ten,,,,,,,,,,,Entity;CapabilityNode
capability:T6,multidigit_multiplication_structure,CapabilityNode,mathematics,capability_topology,capability,T,multiplicative_reasoning_and_division,implemented,Grades 3-5,operations and algebraic thinking / number and operations in base ten,T6,,,,,,,,,,,,,T,Grades 3-5,operations and algebraic thinking / number and operations in base ten,,,,,,,,,,,Entity;CapabilityNode
capability:T7,multidigit_division_and_remainder_interpretation,CapabilityNode,mathematics,capability_topology,capability,T,multiplicative_reasoning_and_division,implemented,Grades 3-5,operations and algebraic thinking / number and operations in base ten,T7,,,,,,,,,,,,,T,Grades 3-5,operations and algebraic thinking / number and operations in base ten,,,,,,,,,,,Entity;CapabilityNode
family:m,measurement_and_magnitude,CapabilityFamily,mathematics,capability_topology,family,M,measurement_and_magnitude,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,Entity;CapabilityFamily
capability:M1,measurable_attributes,CapabilityNode,mathematics,capability_topology,capability,M,measurement_and_magnitude,implemented,Kindergarten to Grade 5,measurement and data,M1,,,,,,,,,,,,,M,Kindergarten to Grade 5,measurement and data,,,,,,,,,,,Entity;CapabilityNode
capability:M2,iterated_units,CapabilityNode,mathematics,capability_topology,capability,M,measurement_and_magnitude,implemented,Kindergarten to Grade 5,measurement and data,M2,,,,,,,,,,,,,M,Kindergarten to Grade 5,measurement and data,,,,,,,,,,,Entity;CapabilityNode
capability:M3,unit_size_matters,CapabilityNode,mathematics,capability_topology,capability,M,measurement_and_magnitude,implemented,Kindergarten to Grade 5,measurement and data,M3,,,,,,,,,,,,,M,Kindergarten to Grade 5,measurement and data,,,,,,,,,,,Entity;CapabilityNode
capability:M4,length_comparison_and_ordering,CapabilityNode,mathematics,capability_topology,capability,M,measurement_and_magnitude,implemented,Kindergarten to Grade 5,measurement and data,M4,,,,,,,,,,,,,M,Kindergarten to Grade 5,measurement and data,,,,,,,,,,,Entity;CapabilityNode
capability:M5,indirect_comparison_and_transitivity,CapabilityNode,mathematics,capability_topology,capability,M,measurement_and_magnitude,implemented,Kindergarten to Grade 5,measurement and data,M5,,,,,,,,,,,,,M,Kindergarten to Grade 5,measurement and data,,,,,,,,,,,Entity;CapabilityNode
capability:M6,time_calendar_and_sequence_measurement_readiness,CapabilityNode,mathematics,capability_topology,capability,M,measurement_and_magnitude,implemented,Kindergarten to Grade 5,measurement and data,M6,,,,,,,,,,,,,M,Kindergarten to Grade 5,measurement and data,,,,,,,,,,,Entity;CapabilityNode
capability:M7,money_and_value_unit_readiness,CapabilityNode,mathematics,capability_topology,capability,M,measurement_and_magnitude,implemented,Kindergarten to Grade 5,measurement and data,M7,,,,,,,,,,,,,M,Kindergarten to Grade 5,measurement and data,,,,,,,,,,,Entity;CapabilityNode
capability:M8,standard_length_units_and_tool_use,CapabilityNode,mathematics,capability_topology,capability,M,measurement_and_magnitude,implemented,Kindergarten to Grade 5,measurement and data,M8,,,,,,,,,,,,,M,Kindergarten to Grade 5,measurement and data,,,,,,,,,,,Entity;CapabilityNode
capability:M9,perimeter_area_and_unit_square_covering,CapabilityNode,mathematics,capability_topology,capability,M,measurement_and_magnitude,implemented,Kindergarten to Grade 5,measurement and data,M9,,,,,,,,,,,,,M,Kindergarten to Grade 5,measurement and data,,,,,,,,,,,Entity;CapabilityNode
capability:M10,clock_time_and_elapsed_intervals,CapabilityNode,mathematics,capability_topology,capability,M,measurement_and_magnitude,implemented,Kindergarten to Grade 5,measurement and data,M10,,,,,,,,,,,,,M,Kindergarten to Grade 5,measurement and data,,,,,,,,,,,Entity;CapabilityNode
capability:M11,money_composition_and_exchange,CapabilityNode,mathematics,capability_topology,capability,M,measurement_and_magnitude,implemented,Kindergarten to Grade 5,measurement and data,M11,,,,,,,,,,,,,M,Kindergarten to Grade 5,measurement and data,,,,,,,,,,,Entity;CapabilityNode
capability:M12,mass_and_volume_attributes,CapabilityNode,mathematics,capability_topology,capability,M,measurement_and_magnitude,implemented,Kindergarten to Grade 5,measurement and data,M12,,,,,,,,,,,,,M,Kindergarten to Grade 5,measurement and data,,,,,,,,,,,Entity;CapabilityNode
capability:M13,standard_mass_volume_units_and_comparison,CapabilityNode,mathematics,capability_topology,capability,M,measurement_and_magnitude,implemented,Kindergarten to Grade 5,measurement and data,M13,,,,,,,,,,,,,M,Kindergarten to Grade 5,measurement and data,,,,,,,,,,,Entity;CapabilityNode
capability:M14,unit_conversion_within_measurement_systems,CapabilityNode,mathematics,capability_topology,capability,M,measurement_and_magnitude,implemented,Kindergarten to Grade 5,measurement and data,M14,,,,,,,,,,,,,M,Kindergarten to Grade 5,measurement and data,,,,,,,,,,,Entity;CapabilityNode
family:g,geometry_and_spatial_reasoning,CapabilityFamily,mathematics,capability_topology,family,G,geometry_and_spatial_reasoning,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,Entity;CapabilityFamily
capability:G1,shape_recognition_and_classification,CapabilityNode,mathematics,capability_topology,capability,G,geometry_and_spatial_reasoning,implemented,Kindergarten to Grade 5,geometry,G1,,,,,,,,,,,,,G,Kindergarten to Grade 5,geometry,,,,,,,,,,,Entity;CapabilityNode
capability:G2,position_direction_and_spatial_language,CapabilityNode,mathematics,capability_topology,capability,G,geometry_and_spatial_reasoning,implemented,Kindergarten to Grade 5,geometry,G2,,,,,,,,,,,,,G,Kindergarten to Grade 5,geometry,,,,,,,,,,,Entity;CapabilityNode
capability:G3,compose_and_decompose_shapes,CapabilityNode,mathematics,capability_topology,capability,G,geometry_and_spatial_reasoning,implemented,Kindergarten to Grade 5,geometry,G3,,,,,,,,,,,,,G,Kindergarten to Grade 5,geometry,,,,,,,,,,,Entity;CapabilityNode
capability:G4,pattern_blocks_and_tiling_structure,CapabilityNode,mathematics,capability_topology,capability,G,geometry_and_spatial_reasoning,implemented,Kindergarten to Grade 5,geometry,G4,,,,,,,,,,,,,G,Kindergarten to Grade 5,geometry,,,,,,,,,,,Entity;CapabilityNode
capability:G5,symmetry_and_equal_part_visual_reasoning,CapabilityNode,mathematics,capability_topology,capability,G,geometry_and_spatial_reasoning,implemented,Kindergarten to Grade 5,geometry,G5,,,,,,,,,,,,,G,Kindergarten to Grade 5,geometry,,,,,,,,,,,Entity;CapabilityNode
capability:G6,polygon_attributes_and_hierarchy,CapabilityNode,mathematics,capability_topology,capability,G,geometry_and_spatial_reasoning,implemented,Kindergarten to Grade 5,geometry,G6,,,,,,,,,,,,,G,Kindergarten to Grade 5,geometry,,,,,,,,,,,Entity;CapabilityNode
capability:G7,angle_concept_and_turn_measure,CapabilityNode,mathematics,capability_topology,capability,G,geometry_and_spatial_reasoning,implemented,Kindergarten to Grade 5,geometry,G7,,,,,,,,,,,,,G,Kindergarten to Grade 5,geometry,,,,,,,,,,,Entity;CapabilityNode
family:p,pattern_and_algebraic_readiness,CapabilityFamily,mathematics,capability_topology,family,P,pattern_and_algebraic_readiness,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,Entity;CapabilityFamily
capability:P1,repeating_patterns,CapabilityNode,mathematics,capability_topology,capability,P,pattern_and_algebraic_readiness,implemented,Kindergarten to Grade 2,operations and algebraic thinking,P1,,,,,,,,,,,,,P,Kindergarten to Grade 2,operations and algebraic thinking,,,,,,,,,,,Entity;CapabilityNode
capability:P2,growing_patterns,CapabilityNode,mathematics,capability_topology,capability,P,pattern_and_algebraic_readiness,implemented,Kindergarten to Grade 2,operations and algebraic thinking,P2,,,,,,,,,,,,,P,Kindergarten to Grade 2,operations and algebraic thinking,,,,,,,,,,,Entity;CapabilityNode
capability:P3,missing_element_pattern_reasoning,CapabilityNode,mathematics,capability_topology,capability,P,pattern_and_algebraic_readiness,implemented,Kindergarten to Grade 2,operations and algebraic thinking,P3,,,,,,,,,,,,,P,Kindergarten to Grade 2,operations and algebraic thinking,,,,,,,,,,,Entity;CapabilityNode
capability:P4,rule_language_and_structure_noticing,CapabilityNode,mathematics,capability_topology,capability,P,pattern_and_algebraic_readiness,implemented,Kindergarten to Grade 2,operations and algebraic thinking,P4,,,,,,,,,,,,,P,Kindergarten to Grade 2,operations and algebraic thinking,,,,,,,,,,,Entity;CapabilityNode
family:d,data_and_representation,CapabilityFamily,mathematics,capability_topology,family,D,data_and_representation,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,Entity;CapabilityFamily
capability:D1,sort_and_classify_by_attribute,CapabilityNode,mathematics,capability_topology,capability,D,data_and_representation,implemented,Kindergarten to Grade 5,measurement and data,D1,,,,,,,,,,,,,D,Kindergarten to Grade 5,measurement and data,,,,,,,,,,,Entity;CapabilityNode
capability:D2,count_and_compare_category_totals,CapabilityNode,mathematics,capability_topology,capability,D,data_and_representation,implemented,Kindergarten to Grade 5,measurement and data,D2,,,,,,,,,,,,,D,Kindergarten to Grade 5,measurement and data,,,,,,,,,,,Entity;CapabilityNode
capability:D3,read_simple_picture_graphs_and_tallies,CapabilityNode,mathematics,capability_topology,capability,D,data_and_representation,implemented,Kindergarten to Grade 5,measurement and data,D3,,,,,,,,,,,,,D,Kindergarten to Grade 5,measurement and data,,,,,,,,,,,Entity;CapabilityNode
capability:D4,represent_simple_data_sets,CapabilityNode,mathematics,capability_topology,capability,D,data_and_representation,implemented,Kindergarten to Grade 5,measurement and data,D4,,,,,,,,,,,,,D,Kindergarten to Grade 5,measurement and data,,,,,,,,,,,Entity;CapabilityNode
capability:D5,scaled_bar_graphs_and_numerical_data,CapabilityNode,mathematics,capability_topology,capability,D,data_and_representation,implemented,Kindergarten to Grade 5,measurement and data,D5,,,,,,,,,,,,,D,Kindergarten to Grade 5,measurement and data,,,,,,,,,,,Entity;CapabilityNode
capability:D6,line_plots_and_measurement_data,CapabilityNode,mathematics,capability_topology,capability,D,data_and_representation,implemented,Kindergarten to Grade 5,measurement and data,D6,,,,,,,,,,,,,D,Kindergarten to Grade 5,measurement and data,,,,,,,,,,,Entity;CapabilityNode
family:l,number_line_and_linear_magnitude,CapabilityFamily,mathematics,capability_topology,family,L,number_line_and_linear_magnitude,,,,,,,,,,,,,,,,,L,,,,,,,,,,,,,Entity;CapabilityFamily
capability:L1,ordered_positions_on_number_line,CapabilityNode,mathematics,capability_topology,capability,L,number_line_and_linear_magnitude,implemented,Grades 1-2,operations and algebraic thinking / number representation,L1,,,,,,,,,,,,,L,Grades 1-2,operations and algebraic thinking / number representation,,,,,,,,,,,Entity;CapabilityNode
capability:L2,whole_number_intervals_and_jumps,CapabilityNode,mathematics,capability_topology,capability,L,number_line_and_linear_magnitude,implemented,Grades 1-3,number and operations in base ten / number representation,L2,,,,,,,,,,,,,L,Grades 1-3,number and operations in base ten / number representation,,,,,,,,,,,Entity;CapabilityNode
capability:L3,multidigit_magnitude_on_number_line,CapabilityNode,mathematics,capability_topology,capability,L,number_line_and_linear_magnitude,implemented,Grades 2-4,number and operations in base ten,L3,,,,,,,,,,,,,L,Grades 2-4,number and operations in base ten,,,,,,,,,,,Entity;CapabilityNode
capability:L4,fraction_locations_on_number_line,CapabilityNode,mathematics,capability_topology,capability,L,number_line_and_linear_magnitude,implemented,Grades 3-5,number and operations with fractions,L4,,,,,,,,,,,,,L,Grades 3-5,number and operations with fractions,,,,,,,,,,,Entity;CapabilityNode
family:y,estimation_and_reasonableness,CapabilityFamily,mathematics,capability_topology,family,Y,estimation_and_reasonableness,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,Entity;CapabilityFamily
capability:Y1,rounding_and_benchmark_whole_numbers,CapabilityNode,mathematics,capability_topology,capability,Y,estimation_and_reasonableness,implemented,Grades 3-5,number and operations in base ten,Y1,,,,,,,,,,,,,Y,Grades 3-5,number and operations in base ten,,,,,,,,,,,Entity;CapabilityNode
capability:Y2,whole_number_operation_estimation,CapabilityNode,mathematics,capability_topology,capability,Y,estimation_and_reasonableness,implemented,Grades 3-5,number and operations in base ten,Y2,,,,,,,,,,,,,Y,Grades 3-5,number and operations in base ten,,,,,,,,,,,Entity;CapabilityNode
capability:Y3,measurement_estimation_and_reasonableness,CapabilityNode,mathematics,capability_topology,capability,Y,estimation_and_reasonableness,implemented,Grades 3-5,measurement and data,Y3,,,,,,,,,,,,,Y,Grades 3-5,measurement and data,,,,,,,,,,,Entity;CapabilityNode
capability:Y4,fraction_benchmark_estimation,CapabilityNode,mathematics,capability_topology,capability,Y,estimation_and_reasonableness,implemented,Grades 3-5,number and operations with fractions,Y4,,,,,,,,,,,,,Y,Grades 3-5,number and operations with fractions,,,,,,,,,,,Entity;CapabilityNode
family:f,fraction_readiness_and_early_fraction,CapabilityFamily,mathematics,capability_topology,family,F,fraction_readiness_and_early_fraction,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,Entity;CapabilityFamily
capability:R1,part_whole_reasoning_with_equal_parts,CapabilityNode,mathematics,capability_topology,capability,F,fraction_readiness_and_early_fraction,implemented,Grades 2-3,number and operations with fractions,R1,,,,,,,,,,,,,F,Grades 2-3,number and operations with fractions,,,,,,,,,,,Entity;CapabilityNode
capability:R2,unit_fraction_readiness,CapabilityNode,mathematics,capability_topology,capability,F,fraction_readiness_and_early_fraction,implemented,Grades 2-3,number and operations with fractions,R2,,,,,,,,,,,,,F,Grades 2-3,number and operations with fractions,,,,,,,,,,,Entity;CapabilityNode
capability:R3,symbol_preparation,CapabilityNode,mathematics,capability_topology,capability,F,fraction_readiness_and_early_fraction,implemented,Grades 2-3,number and operations with fractions,R3,,,,,,,,,,,,,F,Grades 2-3,number and operations with fractions,,,,,,,,,,,Entity;CapabilityNode
capability:F1,fraction_structure,CapabilityNode,mathematics,capability_topology,capability,F,fraction_readiness_and_early_fraction,implemented,Grades 3-5,number and operations with fractions,F1,,,,,,,,,,,,,F,Grades 3-5,number and operations with fractions,,,,,,,,,,,Entity;CapabilityNode
capability:F2,equivalent_fractions,CapabilityNode,mathematics,capability_topology,capability,F,fraction_readiness_and_early_fraction,implemented,Grades 3-5,number and operations with fractions,F2,,,,,,,,,,,,,F,Grades 3-5,number and operations with fractions,,,,,,,,,,,Entity;CapabilityNode
capability:F3,compare_fractions,CapabilityNode,mathematics,capability_topology,capability,F,fraction_readiness_and_early_fraction,implemented,Grades 3-5,number and operations with fractions,F3,,,,,,,,,,,,,F,Grades 3-5,number and operations with fractions,,,,,,,,,,,Entity;CapabilityNode
capability:F4,add_subtract_like_denominator_fractions,CapabilityNode,mathematics,capability_topology,capability,F,fraction_readiness_and_early_fraction,implemented,Grades 3-5,number and operations with fractions,F4,,,,,,,,,,,,,F,Grades 3-5,number and operations with fractions,,,,,,,,,,,Entity;CapabilityNode
capability:F5,add_subtract_unlike_denominator_fractions,CapabilityNode,mathematics,capability_topology,capability,F,fraction_readiness_and_early_fraction,implemented,Grades 3-5,number and operations with fractions,F5,,,,,,,,,,,,,F,Grades 3-5,number and operations with fractions,,,,,,,,,,,Entity;CapabilityNode
