Id,Label,EntityType,Subtype,Domain,SourceLayer,FamilyId,FamilyName,ImplementationState,PrimaryGradeBand,PrimaryContentDomain,OfficialIdentifier,DocumentPath,ArtifactType,Purpose,DeliveryFormat,SourcePath,DecisionType,Outcome,RegistryId,SliceId,Status,ReviewStatus,SupportedProfiles,MappedFamilyIds,MappedGradeBands,MappedContentDomains,NodeIds,EntryNodeIds,LearnerStateFields,VerificationGateTargets,FailureModeTargets,InterventionTargets,ResponseModesSupported,AccessibilityTags,LanguageSupportTags,AppliesWhen
capability:N5,N5 teen_numbers_and_base_ten_composition_readiness,CapabilityNode,capability,mathematics,capability_topology,N,whole_number_and_operations,implemented,Kindergarten to Grade 1,operations and algebraic thinking,N5,,,,,,,,,,,,,N,Kindergarten to Grade 1,operations and algebraic thinking,,,,,,,,,,
capability:N6,N6 early_place_value_grouping_logic,CapabilityNode,capability,mathematics,capability_topology,N,whole_number_and_operations,implemented,Kindergarten to Grade 1,operations and algebraic thinking,N6,,,,,,,,,,,,,N,Kindergarten to Grade 1,operations and algebraic thinking,,,,,,,,,,
family:v,place_value_and_multidigit_whole_numbers,CapabilityFamily,family,mathematics,capability_topology,V,place_value_and_multidigit_whole_numbers,,,,,,,,,,,,,,,,,V,,,,,,,,,,,,
capability:V1,V1 two_digit_number_structure,CapabilityNode,capability,mathematics,capability_topology,V,place_value_and_multidigit_whole_numbers,implemented,Grades 1-3,number and operations in base ten,V1,,,,,,,,,,,,,V,Grades 1-3,number and operations in base ten,,,,,,,,,,
capability:V2,V2 compare_and_order_multidigit_numbers,CapabilityNode,capability,mathematics,capability_topology,V,place_value_and_multidigit_whole_numbers,implemented,Grades 1-3,number and operations in base ten,V2,,,,,,,,,,,,,V,Grades 1-3,number and operations in base ten,,,,,,,,,,
capability:V3,V3 add_subtract_within_100_strategies,CapabilityNode,capability,mathematics,capability_topology,V,place_value_and_multidigit_whole_numbers,implemented,Grades 1-3,number and operations in base ten,V3,,,,,,,,,,,,,V,Grades 1-3,number and operations in base ten,,,,,,,,,,
capability:V4,V4 regrouping_and_base_ten_equivalence,CapabilityNode,capability,mathematics,capability_topology,V,place_value_and_multidigit_whole_numbers,implemented,Grades 1-3,number and operations in base ten,V4,,,,,,,,,,,,,V,Grades 1-3,number and operations in base ten,,,,,,,,,,
capability:V5,V5 add_subtract_within_1000,CapabilityNode,capability,mathematics,capability_topology,V,place_value_and_multidigit_whole_numbers,implemented,Grades 1-3,number and operations in base ten,V5,,,,,,,,,,,,,V,Grades 1-3,number and operations in base ten,,,,,,,,,,
family:x,decimals_and_fraction_decimal_connections,CapabilityFamily,family,mathematics,capability_topology,X,decimals_and_fraction_decimal_connections,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
capability:X1,X1 tenths_as_decimal_units,CapabilityNode,capability,mathematics,capability_topology,X,decimals_and_fraction_decimal_connections,implemented,Grades 4-5,number and operations in base ten / number and operations with fractions,X1,,,,,,,,,,,,,X,Grades 4-5,number and operations in base ten / number and operations with fractions,,,,,,,,,,
capability:X2,X2 decimal_place_value_structure,CapabilityNode,capability,mathematics,capability_topology,X,decimals_and_fraction_decimal_connections,implemented,Grades 4-5,number and operations in base ten / number and operations with fractions,X2,,,,,,,,,,,,,X,Grades 4-5,number and operations in base ten / number and operations with fractions,,,,,,,,,,
capability:X3,X3 compare_and_order_decimals,CapabilityNode,capability,mathematics,capability_topology,X,decimals_and_fraction_decimal_connections,implemented,Grades 4-5,number and operations in base ten / number and operations with fractions,X3,,,,,,,,,,,,,X,Grades 4-5,number and operations in base ten / number and operations with fractions,,,,,,,,,,
capability:X4,X4 fraction_decimal_benchmark_connections,CapabilityNode,capability,mathematics,capability_topology,X,decimals_and_fraction_decimal_connections,implemented,Grades 4-5,number and operations in base ten / number and operations with fractions,X4,,,,,,,,,,,,,X,Grades 4-5,number and operations in base ten / number and operations with fractions,,,,,,,,,,
capability:X5,X5 decimal_locations_on_number_line,CapabilityNode,capability,mathematics,capability_topology,X,decimals_and_fraction_decimal_connections,implemented,Grades 4-5,number and operations in base ten / number and operations with fractions,X5,,,,,,,,,,,,,X,Grades 4-5,number and operations in base ten / number and operations with fractions,,,,,,,,,,
family:u,unitizing_and_sharing,CapabilityFamily,family,mathematics,capability_topology,U,unitizing_and_sharing,,,,,,,,,,,,,,,,,U,,,,,,,,,,,,
capability:U1,U1 equal_groups,CapabilityNode,capability,mathematics,capability_topology,U,unitizing_and_sharing,implemented,Kindergarten to Grade 3,operations and algebraic thinking / number and operations with fractions,U1,,,,,,,,,,,,,U,Kindergarten to Grade 3,operations and algebraic thinking / number and operations with fractions,,,,,,,,,,
capability:U2,U2 repeated_unit_reasoning,CapabilityNode,capability,mathematics,capability_topology,U,unitizing_and_sharing,implemented,Kindergarten to Grade 3,operations and algebraic thinking / number and operations with fractions,U2,,,,,,,,,,,,,U,Kindergarten to Grade 3,operations and algebraic thinking / number and operations with fractions,,,,,,,,,,
capability:U3,U3 sharing_and_fair_partitioning,CapabilityNode,capability,mathematics,capability_topology,U,unitizing_and_sharing,implemented,Kindergarten to Grade 3,operations and algebraic thinking / number and operations with fractions,U3,,,,,,,,,,,,,U,Kindergarten to Grade 3,operations and algebraic thinking / number and operations with fractions,,,,,,,,,,
capability:U4,U4 equal_partitioning_of_a_whole,CapabilityNode,capability,mathematics,capability_topology,U,unitizing_and_sharing,implemented,Kindergarten to Grade 3,operations and algebraic thinking / number and operations with fractions,U4,,,,,,,,,,,,,U,Kindergarten to Grade 3,operations and algebraic thinking / number and operations with fractions,,,,,,,,,,
capability:U5,U5 equal_group_multiplication_readiness,CapabilityNode,capability,mathematics,capability_topology,U,unitizing_and_sharing,implemented,Kindergarten to Grade 3,operations and algebraic thinking / number and operations with fractions,U5,,,,,,,,,,,,,U,Kindergarten to Grade 3,operations and algebraic thinking / number and operations with fractions,,,,,,,,,,
capability:U6,U6 equal_share_division_readiness,CapabilityNode,capability,mathematics,capability_topology,U,unitizing_and_sharing,implemented,Kindergarten to Grade 3,operations and algebraic thinking / number and operations with fractions,U6,,,,,,,,,,,,,U,Kindergarten to Grade 3,operations and algebraic thinking / number and operations with fractions,,,,,,,,,,
family:t,multiplicative_reasoning_and_division,CapabilityFamily,family,mathematics,capability_topology,T,multiplicative_reasoning_and_division,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,
capability:T1,T1 arrays_and_rectangular_structures,CapabilityNode,capability,mathematics,capability_topology,T,multiplicative_reasoning_and_division,implemented,Grades 3-5,operations and algebraic thinking / number and operations in base ten,T1,,,,,,,,,,,,,T,Grades 3-5,operations and algebraic thinking / number and operations in base ten,,,,,,,,,,
capability:T2,T2 multiplication_fact_structure,CapabilityNode,capability,mathematics,capability_topology,T,multiplicative_reasoning_and_division,implemented,Grades 3-5,operations and algebraic thinking / number and operations in base ten,T2,,,,,,,,,,,,,T,Grades 3-5,operations and algebraic thinking / number and operations in base ten,,,,,,,,,,
capability:T3,T3 division_as_unknown_group_or_share,CapabilityNode,capability,mathematics,capability_topology,T,multiplicative_reasoning_and_division,implemented,Grades 3-5,operations and algebraic thinking / number and operations in base ten,T3,,,,,,,,,,,,,T,Grades 3-5,operations and algebraic thinking / number and operations in base ten,,,,,,,,,,
capability:T4,T4 multiplicative_comparison_and_scaling,CapabilityNode,capability,mathematics,capability_topology,T,multiplicative_reasoning_and_division,implemented,Grades 3-5,operations and algebraic thinking / number and operations in base ten,T4,,,,,,,,,,,,,T,Grades 3-5,operations and algebraic thinking / number and operations in base ten,,,,,,,,,,
capability:T5,T5 factors_multiples_and_divisibility,CapabilityNode,capability,mathematics,capability_topology,T,multiplicative_reasoning_and_division,implemented,Grades 3-5,operations and algebraic thinking / number and operations in base ten,T5,,,,,,,,,,,,,T,Grades 3-5,operations and algebraic thinking / number and operations in base ten,,,,,,,,,,
capability:T6,T6 multidigit_multiplication_structure,CapabilityNode,capability,mathematics,capability_topology,T,multiplicative_reasoning_and_division,implemented,Grades 3-5,operations and algebraic thinking / number and operations in base ten,T6,,,,,,,,,,,,,T,Grades 3-5,operations and algebraic thinking / number and operations in base ten,,,,,,,,,,
capability:T7,T7 multidigit_division_and_remainder_interpretation,CapabilityNode,capability,mathematics,capability_topology,T,multiplicative_reasoning_and_division,implemented,Grades 3-5,operations and algebraic thinking / number and operations in base ten,T7,,,,,,,,,,,,,T,Grades 3-5,operations and algebraic thinking / number and operations in base ten,,,,,,,,,,
family:m,measurement_and_magnitude,CapabilityFamily,family,mathematics,capability_topology,M,measurement_and_magnitude,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,
capability:M1,M1 measurable_attributes,CapabilityNode,capability,mathematics,capability_topology,M,measurement_and_magnitude,implemented,Kindergarten to Grade 5,measurement and data,M1,,,,,,,,,,,,,M,Kindergarten to Grade 5,measurement and data,,,,,,,,,,
capability:M2,M2 iterated_units,CapabilityNode,capability,mathematics,capability_topology,M,measurement_and_magnitude,implemented,Kindergarten to Grade 5,measurement and data,M2,,,,,,,,,,,,,M,Kindergarten to Grade 5,measurement and data,,,,,,,,,,
capability:M3,M3 unit_size_matters,CapabilityNode,capability,mathematics,capability_topology,M,measurement_and_magnitude,implemented,Kindergarten to Grade 5,measurement and data,M3,,,,,,,,,,,,,M,Kindergarten to Grade 5,measurement and data,,,,,,,,,,
capability:M4,M4 length_comparison_and_ordering,CapabilityNode,capability,mathematics,capability_topology,M,measurement_and_magnitude,implemented,Kindergarten to Grade 5,measurement and data,M4,,,,,,,,,,,,,M,Kindergarten to Grade 5,measurement and data,,,,,,,,,,
capability:M5,M5 indirect_comparison_and_transitivity,CapabilityNode,capability,mathematics,capability_topology,M,measurement_and_magnitude,implemented,Kindergarten to Grade 5,measurement and data,M5,,,,,,,,,,,,,M,Kindergarten to Grade 5,measurement and data,,,,,,,,,,
capability:M6,M6 time_calendar_and_sequence_measurement_readiness,CapabilityNode,capability,mathematics,capability_topology,M,measurement_and_magnitude,implemented,Kindergarten to Grade 5,measurement and data,M6,,,,,,,,,,,,,M,Kindergarten to Grade 5,measurement and data,,,,,,,,,,
capability:M7,M7 money_and_value_unit_readiness,CapabilityNode,capability,mathematics,capability_topology,M,measurement_and_magnitude,implemented,Kindergarten to Grade 5,measurement and data,M7,,,,,,,,,,,,,M,Kindergarten to Grade 5,measurement and data,,,,,,,,,,
capability:M8,M8 standard_length_units_and_tool_use,CapabilityNode,capability,mathematics,capability_topology,M,measurement_and_magnitude,implemented,Kindergarten to Grade 5,measurement and data,M8,,,,,,,,,,,,,M,Kindergarten to Grade 5,measurement and data,,,,,,,,,,
capability:M9,M9 perimeter_area_and_unit_square_covering,CapabilityNode,capability,mathematics,capability_topology,M,measurement_and_magnitude,implemented,Kindergarten to Grade 5,measurement and data,M9,,,,,,,,,,,,,M,Kindergarten to Grade 5,measurement and data,,,,,,,,,,
capability:M10,M10 clock_time_and_elapsed_intervals,CapabilityNode,capability,mathematics,capability_topology,M,measurement_and_magnitude,implemented,Kindergarten to Grade 5,measurement and data,M10,,,,,,,,,,,,,M,Kindergarten to Grade 5,measurement and data,,,,,,,,,,
capability:M11,M11 money_composition_and_exchange,CapabilityNode,capability,mathematics,capability_topology,M,measurement_and_magnitude,implemented,Kindergarten to Grade 5,measurement and data,M11,,,,,,,,,,,,,M,Kindergarten to Grade 5,measurement and data,,,,,,,,,,
capability:M12,M12 mass_and_volume_attributes,CapabilityNode,capability,mathematics,capability_topology,M,measurement_and_magnitude,implemented,Kindergarten to Grade 5,measurement and data,M12,,,,,,,,,,,,,M,Kindergarten to Grade 5,measurement and data,,,,,,,,,,
capability:M13,M13 standard_mass_volume_units_and_comparison,CapabilityNode,capability,mathematics,capability_topology,M,measurement_and_magnitude,implemented,Kindergarten to Grade 5,measurement and data,M13,,,,,,,,,,,,,M,Kindergarten to Grade 5,measurement and data,,,,,,,,,,
capability:M14,M14 unit_conversion_within_measurement_systems,CapabilityNode,capability,mathematics,capability_topology,M,measurement_and_magnitude,implemented,Kindergarten to Grade 5,measurement and data,M14,,,,,,,,,,,,,M,Kindergarten to Grade 5,measurement and data,,,,,,,,,,
family:g,geometry_and_spatial_reasoning,CapabilityFamily,family,mathematics,capability_topology,G,geometry_and_spatial_reasoning,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,
capability:G1,G1 shape_recognition_and_classification,CapabilityNode,capability,mathematics,capability_topology,G,geometry_and_spatial_reasoning,implemented,Kindergarten to Grade 5,geometry,G1,,,,,,,,,,,,,G,Kindergarten to Grade 5,geometry,,,,,,,,,,
capability:G2,G2 position_direction_and_spatial_language,CapabilityNode,capability,mathematics,capability_topology,G,geometry_and_spatial_reasoning,implemented,Kindergarten to Grade 5,geometry,G2,,,,,,,,,,,,,G,Kindergarten to Grade 5,geometry,,,,,,,,,,
capability:G3,G3 compose_and_decompose_shapes,CapabilityNode,capability,mathematics,capability_topology,G,geometry_and_spatial_reasoning,implemented,Kindergarten to Grade 5,geometry,G3,,,,,,,,,,,,,G,Kindergarten to Grade 5,geometry,,,,,,,,,,
capability:G4,G4 pattern_blocks_and_tiling_structure,CapabilityNode,capability,mathematics,capability_topology,G,geometry_and_spatial_reasoning,implemented,Kindergarten to Grade 5,geometry,G4,,,,,,,,,,,,,G,Kindergarten to Grade 5,geometry,,,,,,,,,,
capability:G5,G5 symmetry_and_equal_part_visual_reasoning,CapabilityNode,capability,mathematics,capability_topology,G,geometry_and_spatial_reasoning,implemented,Kindergarten to Grade 5,geometry,G5,,,,,,,,,,,,,G,Kindergarten to Grade 5,geometry,,,,,,,,,,
capability:G6,G6 polygon_attributes_and_hierarchy,CapabilityNode,capability,mathematics,capability_topology,G,geometry_and_spatial_reasoning,implemented,Kindergarten to Grade 5,geometry,G6,,,,,,,,,,,,,G,Kindergarten to Grade 5,geometry,,,,,,,,,,
capability:G7,G7 angle_concept_and_turn_measure,CapabilityNode,capability,mathematics,capability_topology,G,geometry_and_spatial_reasoning,implemented,Kindergarten to Grade 5,geometry,G7,,,,,,,,,,,,,G,Kindergarten to Grade 5,geometry,,,,,,,,,,
family:p,pattern_and_algebraic_readiness,CapabilityFamily,family,mathematics,capability_topology,P,pattern_and_algebraic_readiness,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,
capability:P1,P1 repeating_patterns,CapabilityNode,capability,mathematics,capability_topology,P,pattern_and_algebraic_readiness,implemented,Kindergarten to Grade 2,operations and algebraic thinking,P1,,,,,,,,,,,,,P,Kindergarten to Grade 2,operations and algebraic thinking,,,,,,,,,,
capability:P2,P2 growing_patterns,CapabilityNode,capability,mathematics,capability_topology,P,pattern_and_algebraic_readiness,implemented,Kindergarten to Grade 2,operations and algebraic thinking,P2,,,,,,,,,,,,,P,Kindergarten to Grade 2,operations and algebraic thinking,,,,,,,,,,
capability:P3,P3 missing_element_pattern_reasoning,CapabilityNode,capability,mathematics,capability_topology,P,pattern_and_algebraic_readiness,implemented,Kindergarten to Grade 2,operations and algebraic thinking,P3,,,,,,,,,,,,,P,Kindergarten to Grade 2,operations and algebraic thinking,,,,,,,,,,
capability:P4,P4 rule_language_and_structure_noticing,CapabilityNode,capability,mathematics,capability_topology,P,pattern_and_algebraic_readiness,implemented,Kindergarten to Grade 2,operations and algebraic thinking,P4,,,,,,,,,,,,,P,Kindergarten to Grade 2,operations and algebraic thinking,,,,,,,,,,
family:d,data_and_representation,CapabilityFamily,family,mathematics,capability_topology,D,data_and_representation,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,
capability:D1,D1 sort_and_classify_by_attribute,CapabilityNode,capability,mathematics,capability_topology,D,data_and_representation,implemented,Kindergarten to Grade 5,measurement and data,D1,,,,,,,,,,,,,D,Kindergarten to Grade 5,measurement and data,,,,,,,,,,
capability:D2,D2 count_and_compare_category_totals,CapabilityNode,capability,mathematics,capability_topology,D,data_and_representation,implemented,Kindergarten to Grade 5,measurement and data,D2,,,,,,,,,,,,,D,Kindergarten to Grade 5,measurement and data,,,,,,,,,,
capability:D3,D3 read_simple_picture_graphs_and_tallies,CapabilityNode,capability,mathematics,capability_topology,D,data_and_representation,implemented,Kindergarten to Grade 5,measurement and data,D3,,,,,,,,,,,,,D,Kindergarten to Grade 5,measurement and data,,,,,,,,,,
capability:D4,D4 represent_simple_data_sets,CapabilityNode,capability,mathematics,capability_topology,D,data_and_representation,implemented,Kindergarten to Grade 5,measurement and data,D4,,,,,,,,,,,,,D,Kindergarten to Grade 5,measurement and data,,,,,,,,,,
capability:D5,D5 scaled_bar_graphs_and_numerical_data,CapabilityNode,capability,mathematics,capability_topology,D,data_and_representation,implemented,Kindergarten to Grade 5,measurement and data,D5,,,,,,,,,,,,,D,Kindergarten to Grade 5,measurement and data,,,,,,,,,,
capability:D6,D6 line_plots_and_measurement_data,CapabilityNode,capability,mathematics,capability_topology,D,data_and_representation,implemented,Kindergarten to Grade 5,measurement and data,D6,,,,,,,,,,,,,D,Kindergarten to Grade 5,measurement and data,,,,,,,,,,
family:l,number_line_and_linear_magnitude,CapabilityFamily,family,mathematics,capability_topology,L,number_line_and_linear_magnitude,,,,,,,,,,,,,,,,,L,,,,,,,,,,,,
capability:L1,L1 ordered_positions_on_number_line,CapabilityNode,capability,mathematics,capability_topology,L,number_line_and_linear_magnitude,implemented,Grades 1-2,operations and algebraic thinking / number representation,L1,,,,,,,,,,,,,L,Grades 1-2,operations and algebraic thinking / number representation,,,,,,,,,,
capability:L2,L2 whole_number_intervals_and_jumps,CapabilityNode,capability,mathematics,capability_topology,L,number_line_and_linear_magnitude,implemented,Grades 1-3,number and operations in base ten / number representation,L2,,,,,,,,,,,,,L,Grades 1-3,number and operations in base ten / number representation,,,,,,,,,,
capability:L3,L3 multidigit_magnitude_on_number_line,CapabilityNode,capability,mathematics,capability_topology,L,number_line_and_linear_magnitude,implemented,Grades 2-4,number and operations in base ten,L3,,,,,,,,,,,,,L,Grades 2-4,number and operations in base ten,,,,,,,,,,
capability:L4,L4 fraction_locations_on_number_line,CapabilityNode,capability,mathematics,capability_topology,L,number_line_and_linear_magnitude,implemented,Grades 3-5,number and operations with fractions,L4,,,,,,,,,,,,,L,Grades 3-5,number and operations with fractions,,,,,,,,,,
family:y,estimation_and_reasonableness,CapabilityFamily,family,mathematics,capability_topology,Y,estimation_and_reasonableness,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,
capability:Y1,Y1 rounding_and_benchmark_whole_numbers,CapabilityNode,capability,mathematics,capability_topology,Y,estimation_and_reasonableness,implemented,Grades 3-5,number and operations in base ten,Y1,,,,,,,,,,,,,Y,Grades 3-5,number and operations in base ten,,,,,,,,,,
capability:Y2,Y2 whole_number_operation_estimation,CapabilityNode,capability,mathematics,capability_topology,Y,estimation_and_reasonableness,implemented,Grades 3-5,number and operations in base ten,Y2,,,,,,,,,,,,,Y,Grades 3-5,number and operations in base ten,,,,,,,,,,
capability:Y3,Y3 measurement_estimation_and_reasonableness,CapabilityNode,capability,mathematics,capability_topology,Y,estimation_and_reasonableness,implemented,Grades 3-5,measurement and data,Y3,,,,,,,,,,,,,Y,Grades 3-5,measurement and data,,,,,,,,,,
capability:Y4,Y4 fraction_benchmark_estimation,CapabilityNode,capability,mathematics,capability_topology,Y,estimation_and_reasonableness,implemented,Grades 3-5,number and operations with fractions,Y4,,,,,,,,,,,,,Y,Grades 3-5,number and operations with fractions,,,,,,,,,,
family:f,fraction_readiness_and_early_fraction,CapabilityFamily,family,mathematics,capability_topology,F,fraction_readiness_and_early_fraction,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,
capability:R1,R1 part_whole_reasoning_with_equal_parts,CapabilityNode,capability,mathematics,capability_topology,F,fraction_readiness_and_early_fraction,implemented,Grades 2-3,number and operations with fractions,R1,,,,,,,,,,,,,F,Grades 2-3,number and operations with fractions,,,,,,,,,,
capability:R2,R2 unit_fraction_readiness,CapabilityNode,capability,mathematics,capability_topology,F,fraction_readiness_and_early_fraction,implemented,Grades 2-3,number and operations with fractions,R2,,,,,,,,,,,,,F,Grades 2-3,number and operations with fractions,,,,,,,,,,
capability:R3,R3 symbol_preparation,CapabilityNode,capability,mathematics,capability_topology,F,fraction_readiness_and_early_fraction,implemented,Grades 2-3,number and operations with fractions,R3,,,,,,,,,,,,,F,Grades 2-3,number and operations with fractions,,,,,,,,,,
capability:F1,F1 fraction_structure,CapabilityNode,capability,mathematics,capability_topology,F,fraction_readiness_and_early_fraction,implemented,Grades 3-5,number and operations with fractions,F1,,,,,,,,,,,,,F,Grades 3-5,number and operations with fractions,,,,,,,,,,
capability:F2,F2 equivalent_fractions,CapabilityNode,capability,mathematics,capability_topology,F,fraction_readiness_and_early_fraction,implemented,Grades 3-5,number and operations with fractions,F2,,,,,,,,,,,,,F,Grades 3-5,number and operations with fractions,,,,,,,,,,
capability:F3,F3 compare_fractions,CapabilityNode,capability,mathematics,capability_topology,F,fraction_readiness_and_early_fraction,implemented,Grades 3-5,number and operations with fractions,F3,,,,,,,,,,,,,F,Grades 3-5,number and operations with fractions,,,,,,,,,,
capability:F4,F4 add_subtract_like_denominator_fractions,CapabilityNode,capability,mathematics,capability_topology,F,fraction_readiness_and_early_fraction,implemented,Grades 3-5,number and operations with fractions,F4,,,,,,,,,,,,,F,Grades 3-5,number and operations with fractions,,,,,,,,,,
capability:F5,F5 add_subtract_unlike_denominator_fractions,CapabilityNode,capability,mathematics,capability_topology,F,fraction_readiness_and_early_fraction,implemented,Grades 3-5,number and operations with fractions,F5,,,,,,,,,,,,,F,Grades 3-5,number and operations with fractions,,,,,,,,,,
capability:F6,F6 fraction_magnitude_beyond_one_whole,CapabilityNode,capability,mathematics,capability_topology,F,fraction_readiness_and_early_fraction,implemented,Grades 3-5,number and operations with fractions,F6,,,,,,,,,,,,,F,Grades 3-5,number and operations with fractions,,,,,,,,,,
family:q,ratio_and_proportional_reasoning,CapabilityFamily,family,mathematics,capability_topology,Q,ratio_and_proportional_reasoning,,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,
capability:Q1,Q1 ratio_as_multiplicative_comparison,CapabilityNode,capability,mathematics,capability_topology,Q,ratio_and_proportional_reasoning,implemented,Grades 6-7,ratios and proportional relationships,Q1,,,,,,,,,,,,,Q,Grades 6-7,ratios and proportional relationships,,,,,,,,,,
capability:Q2,Q2 unit_rate_reasoning,CapabilityNode,capability,mathematics,capability_topology,Q,ratio_and_proportional_reasoning,implemented,Grades 6-7,ratios and proportional relationships,Q2,,,,,,,,,,,,,Q,Grades 6-7,ratios and proportional relationships,,,,,,,,,,
capability:Q3,Q3 proportional_relationships,CapabilityNode,capability,mathematics,capability_topology,Q,ratio_and_proportional_reasoning,implemented,Grades 6-7,ratios and proportional relationships,Q3,,,,,,,,,,,,,Q,Grades 6-7,ratios and proportional relationships,,,,,,,,,,
capability:Q4,Q4 percent_as_rate_per_hundred,CapabilityNode,capability,mathematics,capability_topology,Q,ratio_and_proportional_reasoning,implemented,Grades 6-7,ratios and proportional relationships,Q4,,,,,,,,,,,,,Q,Grades 6-7,ratios and proportional relationships,,,,,,,,,,
family:a,downstream_algebra_and_coordinate_reasoning,CapabilityFamily,family,mathematics,capability_topology,A,downstream_algebra_and_coordinate_reasoning,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,
capability:S1,S1 signed_number_meaning,CapabilityNode,capability,mathematics,capability_topology,A,downstream_algebra_and_coordinate_reasoning,implemented,Grades 6-7,the number system,S1,,,,,,,,,,,,,A,Grades 6-7,the number system,,,,,,,,,,
